line,destination,direction,time
G-1,G01,1,360
G-1,G01,1,364
G-1,G19,0,364
G-1,G01,1,368
G-1,G19,0,370
G-1,G01,1,376
G-1,G19,0,376
G-1,G19,0,380
G-1,G01,1,382
G-1,G19,0,385
G-1,G19,0,388
G-1,G01,1,389
G-1,G19,0,393
G-1,G01,1,397
G-1,G19,0,398
G-1,G01,1,402
G-1,G19,0,402
G-1,G19,0,405
G-1,G01,1,407
G-1,G19,0,409
G-1,G19,0,412
G-1,G01,1,414
G-1,G19,0,415
G-1,G01,1,417
G-1,G19,0,417
G-1,G01,1,420
G-1,G19,0,420
G-1,G19,0,423
G-2,G08,1,424
G-1,G19,0,426
G-1,G01,1,427
G-1,G19,0,429
G-1,G01,1,430
G-1,G01,1,432
G-1,G19,0,432
G-1,G19,0,435
G-2,G08,1,436
G-1,G19,0,438
G-1,G01,1,439
G-1,G19,0,441
G-1,G01,1,442
G-2,G19,0,444
G-1,G01,1,445
G-1,G19,0,447
G-2,G08,1,448
G-1,G19,0,450
G-1,G01,1,451
G-1,G19,0,453
G-1,G01,1,454
G-2,G19,0,456
G-1,G01,1,457
G-1,G19,0,459
G-2,G08,1,460
G-1,G19,0,462
G-1,G01,1,463
G-1,G19,0,465
G-1,G01,1,466
G-2,G19,0,468
G-1,G01,1,469
G-1,G19,0,471
G-2,G08,1,472
G-1,G19,0,474
G-1,G01,1,475
G-1,G19,0,477
G-1,G01,1,478
G-2,G19,0,480
G-1,G01,1,481
G-1,G19,0,483
G-2,G08,1,484
G-1,G19,0,486
G-1,G01,1,487
G-1,G19,0,489
G-1,G01,1,490
G-2,G19,0,492
G-1,G01,1,493
G-1,G19,0,495
G-2,G08,1,496
G-1,G19,0,498
G-1,G01,1,499
G-1,G19,0,501
G-1,G01,1,502
G-2,G19,0,504
G-1,G01,1,505
G-1,G19,0,507
G-2,G08,1,508
G-1,G19,0,510
G-1,G01,1,511
G-1,G19,0,513
G-1,G01,1,514
G-2,G19,0,516
G-1,G01,1,517
G-1,G19,0,519
G-2,G08,1,520
G-1,G19,0,522
G-1,G01,1,523
G-1,G19,0,525
G-1,G01,1,526
G-2,G19,0,528
G-1,G01,1,529
G-1,G19,0,531
G-2,G08,1,532
G-1,G19,0,534
G-1,G01,1,535
G-1,G19,0,537
G-1,G01,1,538
G-2,G19,0,540
G-2,G08,1,541
G-1,G19,0,543
G-1,G01,1,544
G-1,G19,0,546
G-1,G01,1,548
G-1,G19,0,549
G-2,G08,1,551
G-2,G19,0,552
G-1,G01,1,555
G-1,G19,0,555
G-1,G01,1,559
G-1,G19,0,559
G-2,G08,1,562
G-1,G19,0,562
G-1,G01,1,565
G-1,G01,1,568
G-1,G19,0,568
G-2,G08,1,571
G-1,G01,1,573
G-1,G19,0,575
G-1,G01,1,577
G-1,G19,0,578
G-2,G08,1,582
G-1,G19,0,584
G-1,G01,1,586
G-1,G19,0,587
G-2,G08,1,590
G-1,G19,0,592
G-1,G01,1,595
G-1,G19,0,596
G-1,G01,1,600
G-1,G19,0,603
G-1,G01,1,606
G-1,G19,0,606
G-1,G19,0,611
G-2,G08,1,612
G-1,G01,1,615
G-1,G19,0,617
G-2,G08,1,620
G-1,G01,1,624
G-1,G19,0,624
G-2,G08,1,628
G-1,G01,1,631
G-1,G19,0,632
G-1,G01,1,637
G-1,G19,0,640
G-1,G01,1,642
G-1,G19,0,645
G-1,G01,1,651
G-1,G19,0,653
G-1,G01,1,659
G-1,G19,0,660
G-1,G01,1,667
G-1,G19,0,668
G-1,G01,1,673
G-1,G19,0,676
G-1,G01,1,678
G-1,G19,0,682
G-1,G01,1,687
G-1,G19,0,689
G-1,G01,1,695
G-1,G19,0,696
G-1,G01,1,703
G-1,G19,0,704
G-1,G01,1,709
G-1,G19,0,712
G-1,G01,1,714
G-1,G19,0,718
G-1,G01,1,723
G-1,G19,0,725
G-1,G01,1,731
G-1,G19,0,732
G-1,G01,1,739
G-1,G19,0,740
G-1,G01,1,745
G-1,G19,0,748
G-1,G01,1,750
G-1,G19,0,754
G-1,G01,1,759
G-1,G19,0,761
G-1,G01,1,767
G-1,G19,0,768
G-1,G01,1,775
G-1,G19,0,776
G-1,G01,1,781
G-1,G19,0,784
G-1,G01,1,786
G-1,G19,0,790
G-1,G01,1,795
G-1,G19,0,797
G-1,G01,1,803
G-1,G19,0,804
G-1,G01,1,811
G-1,G19,0,812
G-1,G01,1,817
G-1,G19,0,820
G-1,G01,1,822
G-1,G19,0,826
G-1,G01,1,831
G-1,G19,0,833
G-1,G01,1,839
G-1,G19,0,840
G-1,G01,1,847
G-1,G19,0,848
G-1,G01,1,853
G-1,G19,0,856
G-1,G01,1,858
G-1,G19,0,862
G-1,G01,1,867
G-1,G19,0,869
G-1,G01,1,875
G-1,G19,0,876
G-1,G01,1,883
G-1,G19,0,884
G-1,G01,1,889
G-1,G19,0,892
G-1,G01,1,894
G-1,G19,0,898
G-1,G01,1,903
G-1,G19,0,905
G-1,G01,1,911
G-1,G19,0,912
G-1,G01,1,919
G-1,G19,0,920
G-1,G01,1,925
G-1,G19,0,928
G-1,G01,1,930
G-1,G19,0,934
G-1,G01,1,939
G-1,G19,0,941
G-1,G01,1,947
G-1,G19,0,948
G-1,G01,1,955
G-1,G19,0,956
G-1,G01,1,961
G-1,G19,0,964
G-1,G01,1,966
G-1,G19,0,970
G-1,G19,0,974
G-1,G01,1,975
G-1,G19,0,977
G-1,G01,1,983
G-1,G19,0,984
G-1,G01,1,991
G-1,G19,0,993
G-1,G01,1,996
G-1,G19,0,1000
G-1,G01,1,1003
G-1,G19,0,1003
G-2,G08,1,1006
G-1,G19,0,1006
G-1,G19,0,1008
G-1,G01,1,1010
G-1,G19,0,1011
G-1,G19,0,1015
G-1,G01,1,1016
G-1,G01,1,1019
G-1,G19,0,1019
G-2,G08,1,1022
G-1,G19,0,1022
G-1,G19,0,1025
G-1,G01,1,1027
G-1,G19,0,1027
G-1,G01,1,1030
G-2,G19,0,1031
G-1,G01,1,1034
G-1,G19,0,1034
G-2,G08,1,1036
G-1,G19,0,1037
G-1,G01,1,1039
G-1,G19,0,1040
G-1,G01,1,1043
G-2,G19,0,1043
G-1,G01,1,1046
G-1,G19,0,1047
G-2,G08,1,1050
G-1,G19,0,1050
G-1,G01,1,1052
G-1,G19,0,1053
G-1,G01,1,1055
G-2,G19,0,1056
G-1,G01,1,1059
G-1,G19,0,1059
G-2,G08,1,1062
G-1,G19,0,1062
G-1,G01,1,1065
G-1,G19,0,1066
G-1,G01,1,1068
G-2,G19,0,1070
G-1,G01,1,1072
G-1,G19,0,1073
G-2,G08,1,1075
G-1,G19,0,1076
G-1,G01,1,1077
G-1,G19,0,1079
G-1,G01,1,1081
G-2,G19,0,1082
G-1,G01,1,1084
G-1,G19,0,1086
G-2,G08,1,1088
G-1,G19,0,1089
G-1,G01,1,1090
G-1,G19,0,1092
G-1,G01,1,1093
G-2,G19,0,1095
G-1,G01,1,1097
G-1,G19,0,1098
G-2,G08,1,1100
G-1,G19,0,1101
G-1,G01,1,1103
G-1,G19,0,1105
G-1,G01,1,1106
G-2,G19,0,1108
G-1,G01,1,1110
G-1,G19,0,1111
G-2,G08,1,1113
G-1,G19,0,1114
G-1,G01,1,1115
G-1,G19,0,1117
G-1,G01,1,1119
G-2,G19,0,1120
G-1,G01,1,1122
G-1,G19,0,1124
G-2,G08,1,1126
G-1,G19,0,1127
G-1,G01,1,1128
G-1,G19,0,1130
G-1,G01,1,1132
G-2,G19,0,1133
G-1,G01,1,1135
G-1,G19,0,1136
G-2,G08,1,1138
G-1,G19,0,1139
G-1,G01,1,1141
G-1,G19,0,1142
G-1,G01,1,1144
G-2,G19,0,1146
G-1,G01,1,1148
G-1,G19,0,1149
G-2,G08,1,1151
G-1,G19,0,1152
G-1,G01,1,1154
G-1,G19,0,1155
G-1,G01,1,1157
G-2,G19,0,1158
G-1,G01,1,1160
G-1,G19,0,1162
G-2,G08,1,1164
G-1,G19,0,1165
G-1,G01,1,1167
G-1,G19,0,1168
G-1,G01,1,1170
G-1,G01,1,1173
G-1,G19,0,1174
G-2,G08,1,1176
G-1,G19,0,1178
G-1,G01,1,1180
G-1,G19,0,1182
G-1,G01,1,1183
G-1,G01,1,1186
G-1,G19,0,1188
G-2,G08,1,1189
G-1,G01,1,1192
G-1,G19,0,1192
G-1,G01,1,1197
G-1,G19,0,1197
G-1,G01,1,1200
G-1,G19,0,1201
G-1,G01,1,1206
G-1,G19,0,1206
G-1,G01,1,1209
G-1,G19,0,1209
G-1,G19,0,1212
G-1,G01,1,1214
G-1,G19,0,1217
G-1,G01,1,1219
G-1,G19,0,1220
G-1,G01,1,1225
G-1,G19,0,1226
G-1,G01,1,1231
G-1,G19,0,1231
G-2,G08,1,1234
G-1,G19,0,1235
G-1,G01,1,1237
G-1,G19,0,1239
G-1,G19,0,1243
G-1,G01,1,1244
G-1,G19,0,1247
G-1,G01,1,1250
G-2,G08,1,1253
G-1,G19,0,1253
G-1,G01,1,1257
G-1,G19,0,1259
G-1,G01,1,1262
G-1,G19,0,1264
G-1,G01,1,1268
G-2,G08,1,1271
G-1,G19,0,1271
G-1,G01,1,1275
G-1,G19,0,1277
G-1,G01,1,1280
G-1,G19,0,1283
G-1,G01,1,1287
G-1,G19,0,1289
G-2,G08,1,1292
G-1,G01,1,1296
G-1,G19,0,1296
G-1,G19,0,1302
G-1,G01,1,1303
G-1,G19,0,1308
G-1,G01,1,1310
G-1,G19,0,1315
G-1,G01,1,1316
G-1,G19,0,1321
G-1,G01,1,1323
G-1,G19,0,1328
G-1,G01,1,1330
G-1,G19,0,1335
G-1,G01,1,1337
G-1,G19,0,1342
G-1,G01,1,1344
G-1,G19,0,1349
G-1,G01,1,1350
G-1,G19,0,1356
G-1,G01,1,1357
G-1,G19,0,1362
G-1,G01,1,1363
G-1,G19,0,1369
G-1,G01,1,1370
G-1,G01,1,1376
G-1,G19,0,1376
G-1,G01,1,1383
G-1,G19,0,1383
G-1,G01,1,1389
G-1,G19,0,1392
G-1,G01,1,1395
G-1,G19,0,1401
G-1,G01,1,1403
G-1,G01,1,1413
G-1,G19,0,1413
G-1,G01,1,1419
G-1,G19,0,1425
G-1,G01,1,1431
G-1,G19,0,1437
G-1,G01,1,1443
G-1,G19,0,1449
G-1,G01,1,1455
G-1,G19,0,1460
G-1,G01,1,1461
G-1,G19,0,1467
G-1,G01,1,1474
G-1,G01,1,1486
