line,destination,direction,time
BL-1,BL01,1,360
BL-2,BL23,0,363
BL-1,BL01,1,365
BL-2,BL23,0,369
BL-1,BL01,1,371
BL-1,BL01,1,378
BL-2,BL23,0,379
BL-2,BL23,0,384
BL-1,BL01,1,386
BL-2,BL23,0,389
BL-1,BL01,1,391
BL-1,BL01,1,394
BL-1,BL23,0,394
BL-1,BL01,1,401
BL-1,BL23,0,401
BL-2,BL23,0,405
BL-1,BL01,1,407
BL-1,BL23,0,409
BL-1,BL01,1,413
BL-1,BL23,0,417
BL-1,BL01,1,419
BL-1,BL01,1,422
BL-1,BL23,0,423
BL-1,BL01,1,425
BL-2,BL05,1,428
BL-2,BL23,0,428
BL-1,BL01,1,430
BL-1,BL23,0,431
BL-1,BL01,1,433
BL-2,BL23,0,434
BL-2,BL05,1,436
BL-1,BL23,0,438
BL-1,BL01,1,440
BL-2,BL23,0,442
BL-2,BL05,1,444
BL-1,BL23,0,445
BL-1,BL01,1,446
BL-2,BL23,0,448
BL-1,BL01,1,450
BL-1,BL23,0,451
BL-2,BL05,1,453
BL-2,BL23,0,454
BL-1,BL01,1,455
BL-2,BL05,1,457
BL-1,BL23,0,457
BL-1,BL01,1,460
BL-2,BL23,0,460
BL-1,BL01,1,464
BL-1,BL23,0,464
BL-2,BL05,1,467
BL-2,BL23,0,467
BL-1,BL01,1,470
BL-1,BL23,0,470
BL-2,BL05,1,474
BL-2,BL23,0,474
BL-1,BL01,1,477
BL-1,BL23,0,477
BL-2,BL05,1,480
BL-2,BL23,0,480
BL-1,BL23,0,482
BL-1,BL01,1,484
BL-2,BL23,0,484
BL-1,BL23,0,486
BL-2,BL05,1,487
BL-2,BL23,0,488
BL-1,BL01,1,490
BL-1,BL23,0,490
BL-2,BL23,0,493
BL-2,BL05,1,494
BL-1,BL23,0,495
BL-1,BL01,1,497
BL-2,BL21,0,497
BL-1,BL23,0,499
BL-2,BL05,1,500
BL-2,BL23,0,501
BL-1,BL01,1,503
BL-1,BL23,0,503
BL-2,BL05,1,505
BL-2,BL21,0,506
BL-1,BL01,1,508
BL-1,BL23,0,508
BL-2,BL05,1,510
BL-2,BL23,0,510
BL-1,BL01,1,512
BL-1,BL23,0,512
BL-2,BL21,0,514
BL-2,BL05,1,515
BL-1,BL23,0,516
BL-1,BL01,1,517
BL-2,BL05,1,519
BL-2,BL23,0,519
BL-1,BL23,0,521
BL-1,BL01,1,523
BL-2,BL21,0,523
BL-2,BL05,1,525
BL-1,BL23,0,525
BL-2,BL23,0,527
BL-1,BL01,1,529
BL-1,BL23,0,529
BL-2,BL05,1,531
BL-2,BL21,0,532
BL-1,BL01,1,534
