line,destination,direction,time
R-2,R02,1,362
R-1,R28,0,362
R-1,R02,1,367
R-1,R28,0,370
R-1,R02,1,377
R-1,R28,0,380
R-1,R02,1,385
R-1,R28,0,390
R-1,R02,1,394
R-1,R28,0,398
R-1,R02,1,402
R-1,R28,0,403
R-1,R28,0,411
R-1,R02,1,412
R-1,R28,0,418
R-1,R02,1,422
R-1,R28,0,427
R-1,R02,1,431
R-1,R28,0,435
R-2,R05,1,437
R-1,R28,0,441
R-1,R02,1,442
R-2,R05,1,447
R-1,R28,0,448
R-1,R02,1,452
R-2,R05,1,457
R-1,R28,0,457
R-1,R02,1,462
R-2,R05,1,467
R-1,R28,0,467
R-1,R02,1,471
R-1,R28,0,475
R-2,R05,1,477
R-2,R22,0,478
R-1,R02,1,481
R-1,R28,0,482
R-2,R05,1,486
R-1,R02,1,490
R-1,R28,0,492
R-2,R05,1,496
R-1,R02,1,500
R-1,R28,0,501
R-2,R05,1,505
R-2,R22,0,507
R-1,R02,1,509
R-1,R28,0,511
R-2,R05,1,515
R-2,R22,0,516
R-1,R02,1,519
R-1,R28,0,520
R-2,R05,1,524
R-2,R22,0,525
R-1,R02,1,528
R-1,R28,0,530
R-2,R05,1,534
R-2,R22,0,535
R-1,R02,1,538
R-1,R28,0,539
R-2,R05,1,543
R-2,R22,0,544
R-1,R02,1,547
R-1,R28,0,549
R-2,R05,1,553
R-2,R22,0,554
R-1,R02,1,557
R-1,R28,0,558
R-2,R05,1,562
R-2,R22,0,563
R-1,R02,1,566
R-1,R28,0,568
R-2,R05,1,572
R-1,R28,0,574
R-1,R02,1,576
R-1,R28,0,578
R-2,R05,1,581
R-2,R22,0,582
R-1,R02,1,585
R-1,R28,0,587
R-2,R05,1,591
R-2,R22,0,592
R-1,R02,1,594
R-1,R28,0,596
R-2,R05,1,600
R-2,R22,0,601
R-1,R02,1,603
R-1,R28,0,606
R-2,R05,1,608
R-2,R22,0,611
R-1,R02,1,612
R-1,R28,0,615
R-2,R05,1,616
