line,destination,direction,time
R-2,R02,1,360
R-1,R28,0,360
R-2,R02,1,364
R-1,R02,1,369
R-1,R28,0,369
R-1,R02,1,378
R-1,R28,0,379
R-1,R02,1,386
R-1,R28,0,388
R-1,R02,1,396
R-1,R28,0,396
R-1,R28,0,401
R-1,R02,1,404
R-1,R28,0,409
R-1,R02,1,414
R-1,R28,0,416
R-1,R02,1,423
R-1,R28,0,425
R-1,R02,1,433
R-1,R28,0,433
R-2,R05,1,439
R-1,R28,0,439
R-1,R02,1,444
R-1,R28,0,446
R-2,R05,1,449
R-1,R02,1,454
R-1,R28,0,455
R-2,R05,1,459
R-1,R02,1,464
R-1,R28,0,465
R-2,R05,1,469
R-1,R02,1,473
R-1,R28,0,473
R-2,R22,0,477
R-2,R05,1,479
R-1,R28,0,481
R-1,R02,1,483
R-2,R05,1,488
R-1,R28,0,491
R-1,R02,1,492
R-2,R05,1,498
R-1,R28,0,500
R-1,R02,1,502
R-2,R22,0,505
R-2,R05,1,507
R-1,R28,0,509
R-1,R02,1,511
R-2,R22,0,514
R-2,R05,1,517
R-1,R28,0,518
R-1,R02,1,521
R-2,R22,0,524
R-2,R05,1,526
R-1,R28,0,528
R-1,R02,1,530
R-2,R22,0,533
R-2,R05,1,536
R-1,R28,0,537
R-1,R02,1,540
R-2,R22,0,543
R-2,R05,1,545
R-1,R28,0,547
R-1,R02,1,549
R-2,R22,0,552
R-2,R05,1,555
R-1,R28,0,556
R-1,R02,1,559
R-2,R22,0,562
R-2,R05,1,564
R-1,R28,0,566
R-1,R02,1,568
R-1,R28,0,572
R-2,R05,1,574
R-1,R28,0,576
R-1,R02,1,578
R-2,R22,0,581
R-2,R05,1,583
R-1,R28,0,585
R-1,R02,1,587
R-2,R22,0,590
R-2,R05,1,593
R-1,R28,0,594
R-1,R02,1,596
R-2,R22,0,600
R-2,R05,1,602
R-1,R28,0,604
R-1,R02,1,605
R-2,R22,0,609
R-2,R05,1,610
R-1,R02,1,613
R-1,R28,0,613
R-2,R05,1,618
R-2,R22,0,619
R-1,R02,1,622
R-1,R28,0,623
R-2,R05,1,626
R-1,R28,0,629
R-1,R02,1,630
R-1,R28,0,633
R-2,R05,1,634
R-1,R02,1,638
R-2,R22,0,638
R-2,R05,1,642
R-1,R28,0,642
R-1,R02,1,646
R-2,R22,0,647
R-2,R05,1,651
R-1,R28,0,651
R-1,R02,1,654
R-2,R22,0,657
R-2,R05,1,659
R-1,R28,0,661
R-1,R02,1,662
R-2,R22,0,666
R-2,R05,1,667
R-1,R28,0,670
R-1,R02,1,671
R-2,R22,0,674
R-2,R05,1,675
R-1,R02,1,679
R-1,R28,0,679
R-2,R05,1,683
R-2,R22,0,683
R-1,R02,1,687
R-1,R28,0,687
R-2,R02,1,691
R-2,R22,0,691
R-1,R02,1,695
R-1,R28,0,695
R-2,R22,0,699
R-2,R02,1,700
R-1,R02,1,703
R-1,R28,0,703
R-2,R22,0,707
R-2,R02,1,708
R-1,R02,1,711
R-1,R28,0,711
R-2,R22,0,715
R-2,R02,1,716
R-1,R28,0,719
R-1,R02,1,720
R-2,R22,0,723
R-2,R02,1,724
R-1,R02,1,728
R-1,R28,0,728
R-2,R02,1,732
R-2,R22,0,732
R-1,R02,1,736
R-1,R28,0,736
R-2,R02,1,740
R-2,R22,0,740
R-1,R02,1,744
R-1,R28,0,744
R-2,R22,0,748
R-2,R02,1,749
R-1,R02,1,752
R-1,R28,0,752
R-2,R22,0,756
R-2,R02,1,757
R-1,R02,1,760
R-1,R28,0,760
R-2,R22,0,764
R-2,R02,1,765
R-1,R28,0,768
R-1,R02,1,769
R-2,R22,0,772
R-2,R02,1,773
R-1,R02,1,777
R-1,R28,0,777
R-2,R02,1,781
R-2,R22,0,781
R-1,R02,1,785
R-1,R28,0,785
R-2,R02,1,789
R-2,R22,0,789
R-1,R02,1,793
R-1,R28,0,793
R-2,R22,0,797
R-2,R02,1,798
R-1,R02,1,801
R-1,R28,0,801
R-2,R22,0,805
R-2,R02,1,806
R-1,R02,1,809
R-1,R28,0,809
R-2,R22,0,813
R-2,R02,1,814
R-1,R28,0,817
R-1,R02,1,818
R-2,R22,0,821
R-2,R02,1,822
R-1,R02,1,826
R-1,R28,0,826
R-2,R02,1,830
R-2,R22,0,830
R-1,R02,1,834
R-1,R28,0,834
R-2,R02,1,838
R-2,R22,0,838
R-1,R02,1,842
R-1,R28,0,842
R-2,R22,0,846
R-2,R02,1,847
R-1,R02,1,850
R-1,R28,0,850
R-2,R22,0,854
R-2,R02,1,855
R-1,R02,1,858
R-1,R28,0,858
R-2,R22,0,862
R-2,R02,1,863
R-1,R28,0,866
R-1,R02,1,867
R-2,R22,0,870
R-2,R02,1,871
R-1,R02,1,875
R-1,R28,0,875
R-2,R02,1,879
R-2,R22,0,879
R-1,R02,1,883
R-1,R28,0,883
R-2,R02,1,887
R-2,R22,0,887
R-1,R02,1,891
R-1,R28,0,891
R-2,R22,0,895
R-2,R02,1,896
R-1,R02,1,899
R-1,R28,0,899
R-2,R22,0,903
R-2,R02,1,904
R-1,R02,1,907
R-1,R28,0,907
R-2,R22,0,911
R-2,R02,1,912
R-1,R28,0,915
R-1,R02,1,916
R-2,R22,0,919
