line,destination,direction,time
R-1,R02,1,360
R-1,R28,0,360
R-1,R02,1,367
R-1,R02,1,369
R-1,R28,0,370
R-1,R02,1,373
R-1,R02,1,378
R-1,R28,0,379
R-1,R02,1,383
R-1,R28,0,385
R-1,R02,1,388
R-1,R28,0,391
R-1,R02,1,392
R-1,R02,1,396
R-1,R28,0,399
R-1,R02,1,400
R-1,R28,0,402
R-1,R02,1,404
R-1,R02,1,407
R-1,R28,0,407
R-1,R02,1,410
R-1,R28,0,412
R-2,R05,1,413
R-1,R02,1,416
R-1,R02,1,418
R-1,R28,0,418
R-1,R02,1,421
R-1,R28,0,424
R-2,R02,1,425
R-1,R02,1,428
R-1,R28,0,429
R-1,R02,1,431
R-2,R22,0,433
R-1,R02,1,435
R-1,R28,0,437
R-1,R02,1,439
R-1,R28,0,441
R-1,R02,1,442
R-1,R02,1,445
R-2,R22,0,446
R-1,R02,1,448
R-1,R28,0,449
R-1,R02,1,451
R-2,R22,0,453
R-1,R02,1,454
R-1,R28,0,456
R-1,R02,1,457
R-2,R22,0,459
R-1,R02,1,460
R-1,R28,0,462
R-2,R02,1,463
R-2,R22,0,465
R-1,R02,1,466
R-1,R28,0,468
R-1,R02,1,469
R-1,R02,1,472
R-1,R28,0,472
R-2,R02,1,475
R-1,R28,0,475
R-1,R02,1,478
R-2,R22,0,478
R-2,R02,1,481
R-1,R28,0,481
R-1,R02,1,484
R-2,R22,0,484
R-2,R02,1,487
R-1,R28,0,487
R-1,R02,1,490
R-2,R22,0,490
R-2,R02,1,493
R-1,R28,0,494
R-1,R02,1,496
R-2,R22,0,497
R-1,R02,1,499
R-1,R02,1,502
R-1,R28,0,502
R-2,R22,0,504
R-2,R02,1,505
R-1,R28,0,507
R-1,R02,1,508
R-2,R22,0,510
R-2,R02,1,511
R-1,R28,0,513
R-1,R02,1,514
R-2,R22,0,516
R-2,R02,1,517
R-1,R02,1,520
R-1,R28,0,520
R-2,R22,0,522
R-2,R02,1,524
R-1,R28,0,525
R-1,R02,1,527
R-2,R22,0,528
R-2,R02,1,531
R-1,R28,0,531
R-1,R02,1,534
R-2,R22,0,534
R-2,R02,1,537
R-1,R28,0,538
R-2,R22,0,540
R-1,R02,1,541
R-1,R28,0,543
R-2,R02,1,544
R-2,R22,0,546
R-1,R02,1,547
R-1,R28,0,549
R-2,R02,1,552
R-2,R22,0,552
R-1,R02,1,556
R-1,R28,0,556
R-2,R22,0,558
R-1,R02,1,561
R-1,R28,0,561
R-2,R22,0,564
R-2,R05,1,565
R-1,R28,0,567
R-1,R02,1,568
R-2,R22,0,570
R-2,R05,1,573
R-1,R28,0,574
R-1,R02,1,577
R-2,R22,0,577
R-1,R28,0,580
R-2,R05,1,582
R-2,R22,0,584
R-1,R02,1,586
R-1,R28,0,587
R-2,R05,1,591
