line,destination,direction,time
R-1,R28,0,363
R-1,R02,1,366
R-1,R28,0,369
R-1,R02,1,371
R-1,R28,0,375
R-1,R02,1,376
R-1,R28,0,382
R-1,R02,1,383
R-1,R02,1,385
R-1,R28,0,386
R-1,R02,1,389
R-1,R28,0,391
R-1,R02,1,394
R-1,R28,0,396
R-1,R02,1,399
R-1,R28,0,402
R-1,R02,1,404
R-1,R02,1,408
R-1,R28,0,408
R-1,R02,1,412
R-1,R28,0,413
R-1,R02,1,416
R-2,R22,0,416
R-1,R02,1,420
R-1,R28,0,421
R-1,R02,1,423
R-1,R28,0,425
R-1,R02,1,427
R-2,R05,1,430
R-2,R22,0,430
R-1,R02,1,433
R-1,R28,0,433
R-1,R02,1,435
R-2,R22,0,437
R-1,R02,1,438
R-1,R28,0,440
R-2,R02,1,442
R-2,R22,0,443
R-1,R02,1,445
R-1,R28,0,446
R-1,R02,1,448
R-2,R22,0,449
R-1,R02,1,452
R-1,R28,0,452
R-1,R02,1,455
R-1,R28,0,456
R-1,R02,1,459
R-1,R28,0,459
R-1,R02,1,462
R-2,R22,0,462
R-1,R02,1,465
R-1,R28,0,465
R-1,R02,1,468
R-2,R22,0,468
R-1,R02,1,471
R-1,R28,0,471
R-1,R02,1,474
R-2,R22,0,474
R-1,R02,1,477
R-1,R28,0,478
R-2,R02,1,480
R-2,R22,0,481
R-1,R02,1,483
R-1,R28,0,485
R-1,R02,1,486
R-2,R22,0,488
R-1,R02,1,489
R-1,R28,0,491
R-2,R02,1,492
R-2,R22,0,494
R-1,R02,1,495
R-1,R28,0,497
R-2,R02,1,498
R-2,R22,0,500
R-1,R02,1,501
R-1,R28,0,503
R-2,R02,1,504
R-2,R22,0,506
R-1,R02,1,507
R-1,R28,0,509
R-2,R02,1,510
R-2,R22,0,512
R-1,R02,1,513
R-1,R28,0,515
R-1,R02,1,516
R-2,R22,0,518
R-1,R02,1,519
R-1,R28,0,521
R-2,R02,1,522
R-2,R22,0,524
R-1,R02,1,525
R-1,R28,0,527
R-2,R02,1,528
R-2,R22,0,530
R-1,R02,1,531
R-1,R28,0,533
R-2,R02,1,534
R-2,R22,0,536
R-1,R02,1,537
R-1,R28,0,539
R-2,R02,1,540
R-2,R22,0,542
R-1,R02,1,544
R-1,R28,0,545
R-2,R02,1,547
R-2,R22,0,548
R-1,R02,1,551
R-1,R28,0,551
R-2,R02,1,554
R-2,R22,0,554
R-1,R28,0,557
R-1,R02,1,558
R-2,R02,1,561
R-2,R22,0,561
R-1,R28,0,564
R-1,R02,1,565
R-2,R22,0,568
R-2,R02,1,569
R-1,R28,0,571
R-1,R02,1,574
R-2,R22,0,575
R-1,R02,1,578
R-1,R28,0,578
R-2,R05,1,582
R-2,R22,0,582
R-1,R02,1,585
R-1,R28,0,585
R-2,R05,1,589
R-1,R28,0,589
R-2,R22,0,592
R-1,R02,1,594
R-1,R28,0,596
R-2,R05,1,598
R-2,R22,0,600
R-1,R02,1,603
R-1,R28,0,605
R-2,R05,1,607
R-2,R22,0,609
R-1,R02,1,612
R-1,R28,0,614
R-2,R05,1,616
R-2,R22,0,618
R-1,R02,1,621
R-1,R28,0,623
R-2,R05,1,625
R-2,R22,0,627
R-1,R02,1,630
R-1,R28,0,632
R-2,R05,1,634
R-2,R22,0,636
R-1,R02,1,639
R-1,R28,0,641
R-2,R05,1,643
R-2,R22,0,645
R-1,R02,1,648
R-1,R28,0,650
R-2,R05,1,652
R-2,R22,0,654
R-1,R02,1,657
R-1,R28,0,659
R-2,R05,1,661
R-2,R22,0,663
R-1,R02,1,666
R-1,R28,0,668
R-2,R05,1,670
R-2,R22,0,672
R-1,R02,1,675
R-1,R28,0,677
R-2,R05,1,679
R-2,R22,0,681
R-1,R02,1,684
R-1,R28,0,686
R-2,R05,1,688
R-2,R22,0,690
R-1,R02,1,693
R-1,R28,0,695
R-2,R05,1,697
R-2,R22,0,699
R-1,R02,1,702
R-1,R28,0,704
R-2,R05,1,706
R-2,R22,0,708
R-1,R02,1,711
R-1,R28,0,713
R-2,R05,1,715
R-2,R22,0,717
R-1,R02,1,720
R-1,R28,0,722
R-2,R05,1,724
R-2,R22,0,726
R-1,R02,1,729
R-1,R28,0,731
R-2,R05,1,733
R-2,R22,0,735
R-1,R02,1,738
R-1,R28,0,740
R-2,R05,1,742
R-2,R22,0,744
R-1,R02,1,747
R-1,R28,0,749
R-2,R05,1,751
R-2,R22,0,753
R-1,R02,1,756
R-1,R28,0,758
R-2,R05,1,760
R-2,R22,0,762
R-1,R02,1,765
R-1,R28,0,767
R-2,R05,1,769
