line,destination,direction,time
R-1,R02,1,363
R-1,R28,0,364
R-1,R02,1,365
R-1,R02,1,369
R-1,R28,0,373
R-1,R02,1,374
R-1,R02,1,379
R-1,R02,1,383
R-1,R28,0,383
R-1,R02,1,387
R-1,R28,0,389
R-1,R02,1,392
R-1,R28,0,395
R-1,R02,1,396
R-1,R02,1,400
R-1,R02,1,403
R-1,R28,0,403
R-1,R02,1,406
R-1,R28,0,406
R-2,R05,1,409
R-1,R28,0,411
R-1,R02,1,412
R-1,R02,1,415
R-1,R28,0,416
R-1,R02,1,418
R-2,R02,1,421
R-1,R28,0,422
R-1,R02,1,424
R-1,R02,1,428
R-1,R28,0,428
R-1,R02,1,431
R-1,R28,0,433
R-1,R02,1,435
R-2,R22,0,437
R-1,R02,1,438
R-1,R02,1,441
R-1,R28,0,441
R-1,R02,1,444
R-1,R28,0,445
R-1,R02,1,447
R-1,R02,1,450
R-2,R22,0,450
R-1,R02,1,453
R-1,R28,0,453
R-1,R02,1,456
R-2,R22,0,457
R-2,R02,1,459
R-1,R28,0,460
R-1,R02,1,462
R-2,R22,0,463
R-1,R02,1,465
R-1,R28,0,466
R-1,R02,1,468
R-2,R22,0,469
R-2,R02,1,471
R-1,R28,0,472
R-1,R02,1,474
R-1,R28,0,476
R-2,R02,1,477
R-1,R28,0,479
R-1,R02,1,480
R-2,R22,0,482
R-2,R02,1,483
R-1,R28,0,485
R-1,R02,1,486
R-2,R22,0,488
R-2,R02,1,489
R-1,R28,0,491
R-1,R02,1,492
R-2,R22,0,494
R-1,R02,1,495
R-1,R02,1,498
R-1,R28,0,498
R-2,R02,1,501
R-2,R22,0,501
R-1,R02,1,504
R-1,R28,0,506
R-2,R02,1,507
R-2,R22,0,508
R-1,R02,1,510
R-1,R28,0,511
R-2,R02,1,513
R-2,R22,0,514
R-1,R02,1,516
R-1,R28,0,517
R-2,R02,1,520
R-2,R22,0,520
R-1,R02,1,523
R-1,R28,0,524
R-2,R22,0,526
R-2,R02,1,527
R-1,R02,1,529
R-1,R28,0,529
R-2,R22,0,532
R-2,R02,1,533
R-1,R28,0,535
R-1,R02,1,536
R-2,R22,0,538
R-2,R02,1,540
R-1,R28,0,542
R-1,R02,1,543
R-2,R22,0,544
R-2,R02,1,547
R-1,R28,0,547
R-2,R22,0,550
R-1,R02,1,552
R-1,R28,0,553
R-1,R02,1,556
R-2,R22,0,556
R-2,R05,1,560
R-1,R28,0,560
R-2,R22,0,562
R-1,R02,1,564
R-1,R28,0,565
R-2,R22,0,568
R-2,R05,1,569
R-1,R28,0,571
R-1,R02,1,573
R-2,R22,0,574
R-2,R05,1,578
R-1,R28,0,578
R-2,R22,0,581
R-1,R02,1,582
R-1,R28,0,584
R-2,R05,1,587
R-2,R22,0,587
R-1,R02,1,591
R-1,R28,0,591
