line,destination,direction,abs_time
Y-1,Y20,0,362
Y-2,Y07,1,365
Y-1,Y20,0,372
Y-2,Y07,1,373
Y-1,Y20,0,379
Y-2,Y07,1,382
Y-1,Y20,0,389
Y-2,Y07,1,390
Y-2,Y07,1,395
Y-1,Y20,0,397
Y-2,Y07,1,402
Y-1,Y20,0,404
Y-2,Y07,1,411
Y-1,Y20,0,412
Y-2,Y07,1,419
Y-1,Y20,0,421
Y-2,Y07,1,429
Y-1,Y20,0,431
Y-2,Y07,1,440
Y-1,Y20,0,441
Y-2,Y07,1,450
Y-1,Y20,0,452
Y-2,Y07,1,460
Y-1,Y20,0,462
Y-2,Y07,1,470
Y-1,Y20,0,472
Y-2,Y07,1,480
Y-1,Y20,0,482
Y-2,Y07,1,491
Y-1,Y20,0,493
Y-2,Y07,1,501
Y-1,Y20,0,502
Y-2,Y07,1,511
Y-1,Y20,0,512
Y-2,Y07,1,521
Y-1,Y20,0,522
Y-2,Y07,1,531
Y-1,Y20,0,532
Y-2,Y07,1,541
Y-1,Y20,0,542
Y-1,Y20,0,551
Y-2,Y07,1,551
Y-1,Y20,0,560
Y-2,Y07,1,561
Y-1,Y20,0,568
Y-2,Y07,1,571
Y-1,Y20,0,576
Y-2,Y07,1,581
Y-1,Y20,0,583
Y-1,Y20,0,590
Y-2,Y07,1,590
Y-1,Y20,0,598
Y-2,Y07,1,599
Y-1,Y20,0,605
Y-2,Y07,1,605
Y-2,Y07,1,612
Y-1,Y20,0,613
Y-1,Y20,0,620
Y-2,Y07,1,620
Y-2,Y07,1,627
Y-1,Y20,0,628
Y-1,Y20,0,635
Y-2,Y07,1,635
Y-2,Y07,1,642
Y-1,Y20,0,643
Y-1,Y20,0,650
Y-2,Y07,1,650
Y-2,Y07,1,657
Y-1,Y20,0,658
Y-1,Y20,0,665
Y-2,Y07,1,665
Y-2,Y07,1,672
Y-1,Y20,0,673
Y-1,Y20,0,680
Y-2,Y07,1,680
Y-2,Y07,1,687
Y-1,Y20,0,688
Y-1,Y20,0,695
Y-2,Y07,1,695
Y-2,Y07,1,702
Y-1,Y20,0,703
Y-1,Y20,0,710
Y-2,Y07,1,710
Y-2,Y07,1,717
Y-1,Y20,0,718
Y-1,Y20,0,725
Y-2,Y07,1,725
Y-2,Y07,1,732
Y-1,Y20,0,733
Y-1,Y20,0,740
Y-2,Y07,1,740
Y-2,Y07,1,747
Y-1,Y20,0,748
Y-1,Y20,0,755
Y-2,Y07,1,755
Y-2,Y07,1,762
Y-1,Y20,0,763
Y-1,Y20,0,770
Y-2,Y07,1,770
Y-2,Y07,1,777
Y-1,Y20,0,778
Y-1,Y20,0,785
Y-2,Y07,1,785
Y-2,Y07,1,792
Y-1,Y20,0,793
Y-1,Y20,0,800
Y-2,Y07,1,800
Y-2,Y07,1,807
Y-1,Y20,0,808
Y-1,Y20,0,815
Y-2,Y07,1,815
Y-2,Y07,1,822
Y-1,Y20,0,823
Y-1,Y20,0,830
Y-2,Y07,1,830
Y-2,Y07,1,837
Y-1,Y20,0,838
Y-1,Y20,0,845
Y-2,Y07,1,845
Y-2,Y07,1,852
Y-1,Y20,0,853
Y-1,Y20,0,860
Y-2,Y07,1,860
Y-2,Y07,1,867
Y-1,Y20,0,868
Y-1,Y20,0,875
Y-2,Y07,1,875
Y-2,Y07,1,882
Y-1,Y20,0,883
Y-1,Y20,0,890
Y-2,Y07,1,890
Y-2,Y07,1,897
Y-1,Y20,0,898
Y-1,Y20,0,905
Y-2,Y07,1,905
Y-2,Y07,1,912
Y-1,Y20,0,913
Y-1,Y20,0,920
Y-2,Y07,1,920
Y-2,Y07,1,927
Y-1,Y20,0,928
Y-1,Y20,0,935
Y-2,Y07,1,935
Y-2,Y07,1,942
Y-1,Y20,0,943
Y-1,Y20,0,950
Y-2,Y07,1,950
Y-2,Y07,1,957
Y-1,Y20,0,958
Y-1,Y20,0,965
Y-2,Y07,1,965
Y-2,Y07,1,972
Y-1,Y20,0,973
Y-1,Y20,0,980
Y-2,Y07,1,980
Y-2,Y07,1,987
Y-1,Y20,0,988
Y-1,Y20,0,995
Y-2,Y07,1,995
Y-2,Y07,1,1002
Y-1,Y20,0,1003
Y-1,Y20,0,1010
Y-2,Y07,1,1010
Y-2,Y07,1,1017
Y-1,Y20,0,1018
Y-2,Y07,1,1025
Y-1,Y20,0,1026
Y-2,Y07,1,1032
Y-1,Y20,0,1033
Y-2,Y07,1,1040
Y-1,Y20,0,1041
Y-2,Y07,1,1047
Y-1,Y20,0,1048
Y-2,Y07,1,1055
Y-1,Y20,0,1056
Y-2,Y07,1,1062
Y-1,Y20,0,1064
Y-2,Y07,1,1071
Y-1,Y20,0,1072
Y-2,Y07,1,1078
Y-1,Y20,0,1083
Y-2,Y07,1,1086
Y-1,Y20,0,1093
Y-2,Y07,1,1094
Y-2,Y07,1,1101
Y-1,Y20,0,1102
Y-2,Y07,1,1111
Y-1,Y20,0,1113
Y-2,Y07,1,1121
Y-1,Y20,0,1123
Y-2,Y07,1,1131
Y-1,Y20,0,1133
Y-2,Y07,1,1141
Y-1,Y20,0,1143
Y-2,Y07,1,1151
Y-1,Y20,0,1152
Y-2,Y07,1,1161
Y-1,Y20,0,1162
Y-2,Y07,1,1171
Y-1,Y20,0,1172
Y-2,Y07,1,1181
Y-1,Y20,0,1182
Y-2,Y07,1,1191
Y-1,Y20,0,1192
Y-2,Y07,1,1201
Y-1,Y20,0,1202
Y-2,Y07,1,1211
Y-1,Y20,0,1212
Y-2,Y07,1,1221
Y-1,Y20,0,1222
Y-2,Y07,1,1231
Y-1,Y20,0,1232
Y-2,Y07,1,1241
Y-1,Y20,0,1242
Y-2,Y07,1,1251
Y-1,Y20,0,1252
Y-2,Y07,1,1261
Y-1,Y20,0,1262
Y-2,Y07,1,1271
Y-1,Y20,0,1272
Y-2,Y07,1,1281
Y-1,Y20,0,1282
Y-2,Y07,1,1291
Y-1,Y20,0,1292
Y-2,Y07,1,1301
Y-1,Y20,0,1302
Y-2,Y07,1,1311
Y-1,Y20,0,1312
Y-2,Y07,1,1321
Y-1,Y20,0,1322
Y-2,Y07,1,1331
Y-1,Y20,0,1332
Y-2,Y07,1,1341
Y-1,Y20,0,1342
Y-2,Y07,1,1351
Y-1,Y20,0,1352
Y-2,Y07,1,1360
Y-1,Y20,0,1362
Y-2,Y07,1,1369
Y-1,Y20,0,1371
Y-2,Y07,1,1378
Y-1,Y20,0,1380
Y-1,Y20,0,1386
Y-2,Y07,1,1387
Y-1,Y20,0,1394
Y-2,Y07,1,1397
Y-1,Y20,0,1407
Y-2,Y07,1,1407
Y-1,Y20,0,1418
Y-2,Y07,1,1418
Y-2,Y07,1,1426
Y-1,Y20,0,1431
Y-2,Y07,1,1434
Y-1,Y20,0,1442
Y-2,Y07,1,1442
Y-2,Y07,1,1450
Y-2,Y07,1,1458
Y-2,Y07,1,1470
