line,destination,direction,abs_time
Y-2,Y07,1,360
Y-1,Y20,0,362
Y-2,Y07,1,367
Y-1,Y20,0,368
Y-2,Y07,1,376
Y-1,Y20,0,378
Y-2,Y07,1,383
Y-1,Y20,0,384
Y-2,Y07,1,389
Y-1,Y20,0,390
Y-1,Y20,0,395
Y-2,Y07,1,397
Y-1,Y20,0,402
Y-2,Y07,1,403
Y-1,Y20,0,408
Y-2,Y07,1,410
Y-1,Y20,0,411
Y-1,Y20,0,416
Y-2,Y07,1,418
Y-1,Y20,0,421
Y-1,Y20,0,425
Y-2,Y07,1,426
Y-1,Y20,0,430
Y-2,Y07,1,432
Y-1,Y20,0,435
Y-2,Y07,1,436
Y-1,Y20,0,440
Y-2,Y07,1,442
Y-1,Y20,0,444
Y-2,Y07,1,447
Y-1,Y20,0,449
Y-2,Y07,1,453
Y-1,Y20,0,454
Y-2,Y07,1,457
Y-1,Y20,0,459
Y-2,Y07,1,462
Y-1,Y20,0,464
Y-2,Y07,1,467
Y-1,Y20,0,470
Y-2,Y07,1,472
Y-1,Y20,0,474
Y-2,Y07,1,476
Y-1,Y20,0,479
Y-2,Y07,1,481
Y-1,Y20,0,484
Y-2,Y07,1,486
Y-1,Y20,0,489
Y-2,Y07,1,490
Y-1,Y20,0,494
Y-2,Y07,1,496
Y-1,Y20,0,498
Y-2,Y07,1,500
Y-1,Y20,0,503
Y-2,Y07,1,506
Y-1,Y20,0,507
Y-2,Y07,1,511
Y-1,Y20,0,513
Y-2,Y07,1,516
Y-1,Y20,0,517
Y-2,Y07,1,521
Y-1,Y20,0,523
Y-2,Y07,1,525
Y-1,Y20,0,528
Y-2,Y07,1,530
Y-1,Y20,0,533
Y-2,Y07,1,535
Y-1,Y20,0,538
Y-2,Y07,1,540
Y-1,Y20,0,543
Y-2,Y07,1,544
Y-2,Y07,1,548
Y-1,Y20,0,550
Y-2,Y07,1,554
Y-1,Y20,0,557
Y-2,Y07,1,559
Y-2,Y07,1,564
Y-1,Y20,0,565
Y-2,Y07,1,568
Y-1,Y20,0,573
Y-2,Y07,1,574
Y-2,Y07,1,580
Y-1,Y20,0,582
Y-2,Y07,1,585
Y-1,Y20,0,590
Y-2,Y07,1,591
Y-1,Y20,0,597
Y-2,Y07,1,598
Y-1,Y20,0,603
Y-2,Y07,1,606
Y-1,Y20,0,610
Y-2,Y07,1,613
Y-1,Y20,0,617
Y-2,Y07,1,621
Y-1,Y20,0,625
Y-2,Y07,1,630
Y-1,Y20,0,632
Y-2,Y07,1,638
Y-1,Y20,0,640
Y-2,Y07,1,644
Y-1,Y20,0,648
Y-2,Y07,1,651
Y-1,Y20,0,656
Y-2,Y07,1,659
Y-1,Y20,0,664
Y-2,Y07,1,666
Y-1,Y20,0,671
Y-2,Y07,1,674
Y-1,Y20,0,679
Y-2,Y07,1,681
Y-1,Y20,0,686
Y-2,Y07,1,689
Y-1,Y20,0,694
Y-2,Y07,1,696
Y-1,Y20,0,701
Y-2,Y07,1,704
Y-1,Y20,0,709
Y-2,Y07,1,711
Y-1,Y20,0,716
Y-2,Y07,1,719
Y-1,Y20,0,724
Y-2,Y07,1,726
Y-1,Y20,0,731
Y-2,Y07,1,734
Y-1,Y20,0,739
Y-2,Y07,1,741
Y-1,Y20,0,746
Y-2,Y07,1,749
Y-1,Y20,0,754
Y-2,Y07,1,756
Y-1,Y20,0,761
Y-2,Y07,1,764
Y-1,Y20,0,769
Y-2,Y07,1,771
Y-1,Y20,0,776
Y-2,Y07,1,779
Y-1,Y20,0,784
Y-2,Y07,1,786
Y-1,Y20,0,791
Y-2,Y07,1,794
Y-1,Y20,0,799
Y-2,Y07,1,801
Y-1,Y20,0,806
Y-2,Y07,1,809
Y-1,Y20,0,814
Y-2,Y07,1,816
Y-1,Y20,0,821
Y-2,Y07,1,824
Y-1,Y20,0,829
Y-2,Y07,1,831
Y-1,Y20,0,836
Y-2,Y07,1,839
Y-1,Y20,0,844
Y-2,Y07,1,846
Y-1,Y20,0,851
Y-2,Y07,1,854
Y-1,Y20,0,859
Y-2,Y07,1,861
Y-1,Y20,0,866
Y-2,Y07,1,869
Y-1,Y20,0,874
Y-2,Y07,1,876
Y-1,Y20,0,881
Y-2,Y07,1,884
Y-1,Y20,0,889
Y-2,Y07,1,891
Y-1,Y20,0,896
Y-2,Y07,1,899
Y-1,Y20,0,904
Y-2,Y07,1,906
Y-1,Y20,0,911
Y-2,Y07,1,914
Y-1,Y20,0,919
Y-2,Y07,1,921
Y-1,Y20,0,926
Y-2,Y07,1,929
Y-1,Y20,0,934
Y-2,Y07,1,936
Y-1,Y20,0,941
Y-2,Y07,1,944
Y-1,Y20,0,949
Y-2,Y07,1,951
Y-1,Y20,0,956
Y-2,Y07,1,959
Y-1,Y20,0,964
Y-2,Y07,1,966
Y-1,Y20,0,971
