line,destination,direction,time
O-2,O54,0,360
O-2,O01,1,361
O-1,O21,0,364
O-2,O01,1,367
O-2,O54,0,368
O-1,O01,1,370
O-2,O01,1,372
O-1,O21,0,373
O-1,O01,1,377
O-2,O54,0,379
O-2,O01,1,381
O-1,O21,0,382
O-1,O01,1,384
O-2,O54,0,386
O-2,O01,1,389
O-1,O21,0,391
O-1,O01,1,392
O-2,O01,1,396
O-2,O54,0,396
O-1,O01,1,400
O-1,O21,0,401
O-2,O01,1,405
O-2,O54,0,406
O-1,O01,1,408
O-1,O21,0,411
O-2,O01,1,412
O-1,O01,1,416
O-2,O54,0,416
O-2,O01,1,420
O-1,O21,0,421
O-1,O01,1,424
O-2,O54,0,425
O-2,O01,1,427
O-1,O21,0,429
O-1,O01,1,430
O-2,O01,1,433
O-2,O54,0,433
O-1,O01,1,436
O-1,O21,0,437
O-2,O01,1,440
O-2,O54,0,441
O-1,O01,1,443
O-1,O21,0,445
O-2,O01,1,446
O-1,O01,1,449
O-2,O54,0,449
O-2,O01,1,452
O-1,O21,0,454
O-1,O01,1,455
O-2,O54,0,457
O-2,O01,1,459
O-1,O21,0,461
O-1,O01,1,462
O-2,O54,0,464
O-2,O01,1,465
O-1,O21,0,467
O-1,O01,1,468
O-2,O01,1,470
O-2,O54,0,470
O-1,O21,0,472
O-1,O01,1,473
O-2,O01,1,475
O-2,O54,0,476
O-1,O01,1,478
O-1,O21,0,478
O-2,O01,1,480
O-2,O54,0,482
O-1,O01,1,483
O-2,O01,1,485
O-1,O21,0,485
O-1,O01,1,488
O-2,O54,0,488
O-2,O01,1,490
O-1,O21,0,491
O-1,O01,1,493
O-2,O54,0,494
O-2,O01,1,495
O-1,O21,0,497
O-1,O01,1,498
O-2,O01,1,500
O-2,O54,0,500
O-1,O01,1,503
O-1,O21,0,503
O-2,O01,1,505
O-2,O54,0,507
O-1,O01,1,508
O-1,O21,0,509
O-2,O01,1,510
O-1,O01,1,513
O-2,O54,0,513
O-2,O01,1,515
O-1,O21,0,516
O-1,O01,1,518
O-2,O54,0,518
O-2,O01,1,520
O-1,O21,0,521
O-1,O01,1,523
O-2,O54,0,524
O-2,O01,1,526
O-1,O21,0,527
O-1,O01,1,530
O-2,O54,0,530
O-1,O21,0,532
O-2,O01,1,533
O-2,O54,0,535
O-1,O01,1,536
O-1,O21,0,537
O-2,O01,1,539
O-2,O54,0,540
O-1,O01,1,542
O-1,O21,0,542
O-2,O01,1,545
O-2,O54,0,545
O-1,O21,0,547
O-1,O01,1,548
O-2,O54,0,550
O-2,O01,1,551
O-1,O21,0,553
O-1,O01,1,555
O-2,O54,0,555
O-1,O21,0,558
O-2,O01,1,559
O-2,O54,0,560
O-1,O21,0,562
O-1,O01,1,563
O-2,O54,0,565
O-2,O01,1,568
O-1,O21,0,568
O-2,O54,0,571
O-1,O01,1,572
O-1,O21,0,574
O-2,O01,1,577
O-2,O54,0,577
O-1,O21,0,580
O-1,O01,1,581
O-2,O54,0,583
O-2,O01,1,585
O-1,O21,0,586
O-2,O54,0,589
O-1,O01,1,590
O-1,O21,0,593
O-2,O01,1,594
O-2,O54,0,597
O-1,O01,1,599
O-1,O21,0,601
O-2,O01,1,603
O-2,O54,0,606
O-1,O01,1,607
O-1,O21,0,610
O-2,O01,1,612
O-2,O54,0,614
O-1,O01,1,616
O-1,O21,0,619
O-2,O01,1,621
O-2,O54,0,623
O-1,O01,1,626
O-1,O21,0,627
O-2,O01,1,631
O-2,O54,0,632
O-1,O01,1,635
O-1,O21,0,636
O-2,O01,1,640
O-2,O54,0,641
O-1,O01,1,645
O-1,O21,0,645
O-2,O01,1,650
O-2,O54,0,650
O-1,O21,0,654
O-1,O01,1,655
O-2,O54,0,658
O-2,O01,1,660
O-1,O21,0,663
O-1,O01,1,664
O-2,O54,0,667
O-2,O01,1,669
O-1,O21,0,672
O-1,O01,1,674
O-2,O54,0,675
O-2,O01,1,679
O-1,O21,0,680
O-1,O01,1,684
O-2,O54,0,685
O-2,O01,1,689
O-1,O21,0,689
O-1,O01,1,693
O-2,O54,0,694
O-2,O01,1,698
O-1,O21,0,699
O-1,O01,1,703
O-2,O54,0,704
O-2,O01,1,708
O-1,O21,0,709
O-1,O01,1,713
O-2,O54,0,714
O-2,O01,1,718
O-1,O21,0,718
O-1,O01,1,722
O-2,O54,0,723
O-2,O01,1,727
O-1,O21,0,728
O-1,O01,1,732
O-2,O54,0,733
O-2,O01,1,737
O-1,O21,0,738
O-1,O01,1,742
O-2,O54,0,743
O-2,O01,1,747
O-1,O21,0,747
O-1,O01,1,751
O-2,O54,0,752
O-2,O01,1,756
O-1,O21,0,757
O-1,O01,1,761
O-2,O54,0,762
O-2,O01,1,766
O-1,O21,0,767
O-1,O01,1,771
O-2,O54,0,772
O-2,O01,1,776
O-1,O21,0,776
O-1,O01,1,780
O-2,O54,0,781
O-2,O01,1,785
O-1,O21,0,786
O-1,O01,1,790
O-2,O54,0,791
O-2,O01,1,795
O-1,O21,0,796
O-1,O01,1,800
O-2,O54,0,801
O-2,O01,1,805
O-1,O21,0,805
O-1,O01,1,809
O-2,O54,0,810
O-2,O01,1,814
O-1,O21,0,815
O-1,O01,1,819
O-2,O54,0,820
O-2,O01,1,824
O-1,O21,0,825
O-1,O01,1,829
O-2,O54,0,830
O-2,O01,1,834
O-1,O21,0,834
O-1,O01,1,838
O-2,O54,0,839
O-2,O01,1,843
O-1,O21,0,844
O-1,O01,1,848
O-2,O54,0,849
O-2,O01,1,853
O-1,O21,0,854
O-1,O01,1,858
O-2,O54,0,859
O-2,O01,1,863
O-1,O21,0,863
O-1,O01,1,867
O-2,O54,0,868
O-2,O01,1,872
O-1,O21,0,873
O-1,O01,1,877
O-2,O54,0,878
O-2,O01,1,882
O-1,O21,0,883
O-1,O01,1,887
O-2,O54,0,888
O-2,O01,1,892
O-1,O21,0,892
O-1,O01,1,896
O-2,O54,0,897
O-2,O01,1,901
O-1,O21,0,902
O-1,O01,1,906
O-2,O54,0,907
O-2,O01,1,911
O-1,O21,0,912
O-1,O01,1,916
O-2,O54,0,917
O-2,O01,1,921
O-1,O21,0,921
O-1,O01,1,925
O-2,O54,0,926
O-2,O01,1,930
O-1,O21,0,931
O-1,O01,1,935
O-2,O54,0,936
O-2,O01,1,940
O-1,O21,0,941
O-1,O01,1,945
O-2,O54,0,946
O-2,O01,1,950
O-1,O21,0,950
O-1,O01,1,954
O-2,O54,0,955
O-2,O01,1,959
O-1,O21,0,960
O-1,O01,1,964
O-2,O54,0,965
O-2,O01,1,968
O-1,O21,0,970
O-1,O01,1,971
O-2,O01,1,974
O-2,O54,0,975
O-1,O01,1,977
O-1,O21,0,979
O-2,O01,1,980
O-1,O01,1,984
O-2,O54,0,984
O-2,O01,1,987
O-1,O21,0,989
O-1,O01,1,990
O-2,O01,1,993
O-2,O54,0,994
O-1,O01,1,996
O-2,O01,1,999
O-1,O21,0,999
O-1,O01,1,1002
O-2,O54,0,1003
O-2,O01,1,1006
O-1,O21,0,1008
O-1,O01,1,1009
O-2,O01,1,1012
O-2,O54,0,1013
O-1,O01,1,1015
O-1,O21,0,1017
O-2,O01,1,1018
O-2,O54,0,1020
O-1,O01,1,1021
O-1,O21,0,1023
O-2,O01,1,1025
O-2,O54,0,1026
O-1,O01,1,1028
O-1,O21,0,1029
O-2,O01,1,1031
O-2,O54,0,1033
O-1,O01,1,1034
O-1,O21,0,1036
O-2,O01,1,1037
O-2,O54,0,1039
O-1,O01,1,1040
O-1,O21,0,1042
O-2,O01,1,1044
O-2,O54,0,1045
O-1,O01,1,1047
O-1,O21,0,1048
O-2,O01,1,1050
O-2,O54,0,1052
O-1,O01,1,1053
O-1,O21,0,1055
O-2,O01,1,1056
O-2,O54,0,1058
O-1,O01,1,1059
O-1,O21,0,1061
O-2,O01,1,1063
O-2,O54,0,1064
O-1,O01,1,1066
O-1,O21,0,1067
O-2,O01,1,1069
O-2,O54,0,1071
O-1,O01,1,1072
O-1,O21,0,1074
O-2,O01,1,1075
O-2,O54,0,1077
O-1,O01,1,1078
O-1,O21,0,1080
O-2,O01,1,1082
O-2,O54,0,1083
O-1,O01,1,1085
O-1,O21,0,1086
O-2,O01,1,1088
O-2,O54,0,1090
O-1,O01,1,1091
O-1,O21,0,1093
O-2,O01,1,1094
O-2,O54,0,1096
O-1,O01,1,1097
