line,destination,direction,abs_time
Y-2,Y07,1,360
Y-2,Y07,1,364
Y-2,Y07,1,373
Y-2,Y07,1,381
Y-2,Y07,1,388
Y-2,Y07,1,396
Y-2,Y07,1,404
Y-2,Y07,1,409
Y-2,Y07,1,414
Y-2,Y07,1,420
Y-2,Y07,1,425
Y-2,Y07,1,430
Y-2,Y07,1,435
Y-2,Y07,1,440
Y-2,Y07,1,445
Y-2,Y07,1,449
Y-2,Y07,1,454
Y-2,Y07,1,459
Y-2,Y07,1,463
Y-2,Y07,1,468
Y-2,Y07,1,473
Y-2,Y07,1,478
Y-2,Y07,1,483
Y-2,Y07,1,489
Y-2,Y07,1,494
Y-2,Y07,1,498
Y-2,Y07,1,503
Y-2,Y07,1,508
Y-2,Y07,1,513
Y-2,Y07,1,517
Y-2,Y07,1,522
Y-2,Y07,1,525
Y-2,Y07,1,532
Y-2,Y07,1,537
Y-2,Y07,1,541
Y-2,Y07,1,546
Y-2,Y07,1,551
Y-2,Y07,1,557
Y-2,Y07,1,562
Y-2,Y07,1,569
Y-2,Y07,1,576
Y-2,Y07,1,584
Y-2,Y07,1,591
Y-2,Y07,1,599
Y-2,Y07,1,608
Y-2,Y07,1,616
Y-2,Y07,1,621
Y-2,Y07,1,629
Y-2,Y07,1,636
Y-2,Y07,1,644
Y-2,Y07,1,651
Y-2,Y07,1,659
Y-2,Y07,1,666
Y-2,Y07,1,674
Y-2,Y07,1,681
Y-2,Y07,1,689
Y-2,Y07,1,696
Y-2,Y07,1,704
Y-2,Y07,1,711
Y-2,Y07,1,719
Y-2,Y07,1,726
Y-2,Y07,1,734
Y-2,Y07,1,741
Y-2,Y07,1,749
Y-2,Y07,1,756
Y-2,Y07,1,764
Y-2,Y07,1,771
Y-2,Y07,1,779
Y-2,Y07,1,786
Y-2,Y07,1,794
Y-2,Y07,1,801
Y-2,Y07,1,809
Y-2,Y07,1,816
Y-2,Y07,1,824
Y-2,Y07,1,831
Y-2,Y07,1,839
Y-2,Y07,1,846
Y-2,Y07,1,854
Y-2,Y07,1,861
Y-2,Y07,1,869
Y-2,Y07,1,876
Y-2,Y07,1,884
Y-2,Y07,1,891
Y-2,Y07,1,899
Y-2,Y07,1,906
Y-2,Y07,1,914
Y-2,Y07,1,921
Y-2,Y07,1,929
Y-2,Y07,1,936
Y-2,Y07,1,944
Y-2,Y07,1,951
Y-2,Y07,1,959
Y-2,Y07,1,967
Y-2,Y07,1,974
Y-2,Y07,1,982
Y-2,Y07,1,989
Y-2,Y07,1,996
Y-2,Y07,1,1003
Y-2,Y07,1,1011
Y-2,Y07,1,1016
Y-2,Y07,1,1021
Y-2,Y07,1,1026
Y-2,Y07,1,1031
Y-2,Y07,1,1036
Y-2,Y07,1,1040
Y-2,Y07,1,1045
Y-2,Y07,1,1050
Y-2,Y07,1,1054
Y-2,Y07,1,1059
Y-2,Y07,1,1064
Y-2,Y07,1,1069
Y-2,Y07,1,1073
Y-2,Y07,1,1078
Y-2,Y07,1,1085
Y-2,Y07,1,1089
Y-2,Y07,1,1094
Y-2,Y07,1,1099
Y-2,Y07,1,1104
Y-2,Y07,1,1108
Y-2,Y07,1,1113
Y-2,Y07,1,1117
Y-2,Y07,1,1122
Y-2,Y07,1,1127
Y-2,Y07,1,1132
Y-2,Y07,1,1137
Y-2,Y07,1,1141
Y-2,Y07,1,1148
Y-2,Y07,1,1153
Y-2,Y07,1,1157
Y-2,Y07,1,1162
Y-2,Y07,1,1167
Y-2,Y07,1,1171
Y-2,Y07,1,1176
Y-2,Y07,1,1181
Y-2,Y07,1,1185
Y-2,Y07,1,1192
Y-2,Y07,1,1200
Y-2,Y07,1,1209
Y-2,Y07,1,1219
Y-2,Y07,1,1229
Y-2,Y07,1,1239
Y-2,Y07,1,1249
Y-2,Y07,1,1259
Y-2,Y07,1,1269
Y-2,Y07,1,1279
Y-2,Y07,1,1289
Y-2,Y07,1,1299
Y-2,Y07,1,1309
Y-2,Y07,1,1319
Y-2,Y07,1,1329
Y-2,Y07,1,1339
Y-2,Y07,1,1347
Y-2,Y07,1,1356
Y-2,Y07,1,1366
Y-2,Y07,1,1376
Y-2,Y07,1,1387
Y-2,Y07,1,1395
Y-2,Y07,1,1403
Y-2,Y07,1,1411
Y-2,Y07,1,1419
Y-2,Y07,1,1428
Y-2,Y07,1,1440
