line,destination,direction,abs_time
Y-2,Y07,1,1371
Y-1,Y20,0,1378
Y-2,Y07,1,1381
Y-1,Y20,0,1387
Y-2,Y07,1,1391
Y-1,Y20,0,1396
Y-2,Y07,1,1401
Y-1,Y20,0,1403
Y-2,Y07,1,1409
Y-1,Y20,0,1411
Y-2,Y07,1,1417
Y-1,Y20,0,1424
Y-2,Y07,1,1425
Y-2,Y07,1,1433
Y-1,Y20,0,1435
Y-2,Y07,1,1442
Y-1,Y20,0,1448
Y-2,Y07,1,1454
Y-1,Y20,0,1459
