line,destination,direction,abs_time
Y-2,Y07,1,364
Y-1,Y20,0,366
Y-2,Y07,1,369
Y-1,Y20,0,374
Y-2,Y07,1,378
Y-1,Y20,0,382
Y-2,Y07,1,385
Y-1,Y20,0,389
Y-2,Y07,1,392
Y-1,Y20,0,398
Y-2,Y07,1,400
Y-1,Y20,0,404
Y-1,Y20,0,408
Y-2,Y07,1,408
Y-1,Y20,0,412
Y-2,Y07,1,414
Y-2,Y07,1,418
Y-1,Y20,0,420
Y-2,Y07,1,424
Y-1,Y20,0,425
Y-1,Y20,0,429
Y-2,Y07,1,429
Y-1,Y20,0,434
Y-2,Y07,1,435
Y-1,Y20,0,438
Y-2,Y07,1,439
Y-1,Y20,0,443
Y-2,Y07,1,444
Y-1,Y20,0,448
Y-2,Y07,1,449
Y-1,Y20,0,453
Y-2,Y07,1,454
Y-1,Y20,0,457
Y-2,Y07,1,459
Y-1,Y20,0,462
Y-2,Y07,1,463
Y-1,Y20,0,466
Y-2,Y07,1,468
Y-1,Y20,0,472
Y-2,Y07,1,472
Y-1,Y20,0,477
Y-2,Y07,1,478
Y-1,Y20,0,482
Y-2,Y07,1,482
Y-1,Y20,0,487
Y-2,Y07,1,488
Y-1,Y20,0,492
Y-2,Y07,1,493
Y-1,Y20,0,497
Y-2,Y07,1,498
Y-1,Y20,0,502
Y-2,Y07,1,503
Y-1,Y20,0,507
Y-2,Y07,1,507
Y-1,Y20,0,511
Y-2,Y07,1,512
Y-1,Y20,0,516
Y-2,Y07,1,517
Y-1,Y20,0,520
Y-2,Y07,1,522
Y-1,Y20,0,525
Y-2,Y07,1,526
Y-1,Y20,0,530
Y-2,Y07,1,530
Y-1,Y20,0,535
Y-2,Y07,1,536
Y-1,Y20,0,540
Y-2,Y07,1,541
Y-1,Y20,0,546
Y-2,Y07,1,546
Y-1,Y20,0,550
Y-2,Y07,1,550
Y-1,Y20,0,556
Y-2,Y07,1,556
Y-1,Y20,0,561
Y-2,Y07,1,562
Y-1,Y20,0,567
Y-2,Y07,1,567
Y-2,Y07,1,573
Y-1,Y20,0,575
Y-2,Y07,1,580
Y-1,Y20,0,582
Y-2,Y07,1,588
Y-1,Y20,0,591
Y-2,Y07,1,595
Y-1,Y20,0,599
Y-2,Y07,1,603
Y-1,Y20,0,608
Y-2,Y07,1,612
Y-1,Y20,0,615
Y-2,Y07,1,620
Y-1,Y20,0,621
Y-2,Y07,1,626
Y-1,Y20,0,628
Y-2,Y07,1,633
Y-1,Y20,0,635
Y-2,Y07,1,641
Y-1,Y20,0,643
Y-2,Y07,1,648
Y-1,Y20,0,650
