line,destination,direction,abs_time
Y-1,Y20,0,364
Y-2,Y07,1,366
Y-1,Y20,0,373
Y-2,Y07,1,373
Y-2,Y07,1,378
Y-1,Y20,0,379
Y-2,Y07,1,387
Y-1,Y20,0,389
Y-1,Y20,0,394
Y-2,Y07,1,394
Y-1,Y20,0,399
Y-2,Y07,1,401
Y-1,Y20,0,404
Y-2,Y07,1,409
Y-1,Y20,0,411
Y-1,Y20,0,417
Y-2,Y07,1,417
Y-1,Y20,0,421
Y-2,Y07,1,422
Y-1,Y20,0,425
Y-2,Y07,1,427
Y-1,Y20,0,430
Y-2,Y07,1,433
Y-1,Y20,0,435
Y-2,Y07,1,438
Y-1,Y20,0,439
Y-2,Y07,1,443
Y-1,Y20,0,444
Y-2,Y07,1,448
Y-1,Y20,0,449
Y-1,Y20,0,453
Y-2,Y07,1,453
Y-1,Y20,0,458
Y-2,Y07,1,458
Y-1,Y20,0,463
Y-2,Y07,1,463
Y-2,Y07,1,467
Y-1,Y20,0,468
Y-2,Y07,1,472
Y-1,Y20,0,473
Y-2,Y07,1,476
Y-1,Y20,0,479
Y-2,Y07,1,481
Y-1,Y20,0,484
Y-2,Y07,1,486
Y-1,Y20,0,488
Y-2,Y07,1,491
Y-1,Y20,0,493
Y-2,Y07,1,496
Y-1,Y20,0,498
Y-2,Y07,1,502
Y-1,Y20,0,503
Y-1,Y20,0,507
Y-2,Y07,1,507
Y-2,Y07,1,511
Y-1,Y20,0,512
Y-2,Y07,1,516
Y-1,Y20,0,517
Y-2,Y07,1,521
Y-1,Y20,0,522
Y-2,Y07,1,526
Y-1,Y20,0,527
Y-2,Y07,1,531
Y-1,Y20,0,532
Y-2,Y07,1,535
Y-1,Y20,0,537
Y-2,Y07,1,538
Y-1,Y20,0,542
Y-2,Y07,1,545
Y-1,Y20,0,547
Y-2,Y07,1,550
Y-1,Y20,0,552
Y-2,Y07,1,554
Y-1,Y20,0,559
Y-2,Y07,1,559
Y-2,Y07,1,564
Y-1,Y20,0,566
Y-2,Y07,1,570
Y-1,Y20,0,574
Y-2,Y07,1,575
Y-2,Y07,1,582
Y-1,Y20,0,583
Y-2,Y07,1,589
Y-1,Y20,0,591
Y-2,Y07,1,597
Y-1,Y20,0,600
Y-2,Y07,1,604
Y-1,Y20,0,606
Y-1,Y20,0,612
Y-2,Y07,1,612
Y-1,Y20,0,619
Y-2,Y07,1,621
Y-1,Y20,0,627
Y-2,Y07,1,629
Y-1,Y20,0,634
Y-2,Y07,1,634
Y-1,Y20,0,642
Y-2,Y07,1,642
Y-1,Y20,0,649
Y-2,Y07,1,649
Y-1,Y20,0,657
Y-2,Y07,1,657
Y-2,Y07,1,664
Y-1,Y20,0,665
Y-2,Y07,1,672
Y-1,Y20,0,673
Y-2,Y07,1,679
Y-1,Y20,0,680
Y-2,Y07,1,687
Y-1,Y20,0,688
Y-2,Y07,1,694
Y-1,Y20,0,695
Y-2,Y07,1,702
Y-1,Y20,0,703
Y-2,Y07,1,709
Y-1,Y20,0,710
Y-2,Y07,1,717
Y-1,Y20,0,718
Y-2,Y07,1,724
Y-1,Y20,0,725
Y-2,Y07,1,732
Y-1,Y20,0,733
Y-2,Y07,1,739
Y-1,Y20,0,740
Y-2,Y07,1,747
Y-1,Y20,0,748
Y-2,Y07,1,754
Y-1,Y20,0,755
Y-2,Y07,1,762
Y-1,Y20,0,763
Y-2,Y07,1,769
Y-1,Y20,0,770
Y-2,Y07,1,777
Y-1,Y20,0,778
Y-2,Y07,1,784
Y-1,Y20,0,785
Y-2,Y07,1,792
Y-1,Y20,0,793
Y-2,Y07,1,799
Y-1,Y20,0,800
Y-2,Y07,1,807
Y-1,Y20,0,808
Y-2,Y07,1,814
Y-1,Y20,0,815
Y-2,Y07,1,822
Y-1,Y20,0,823
Y-2,Y07,1,829
Y-1,Y20,0,830
Y-2,Y07,1,837
Y-1,Y20,0,838
Y-2,Y07,1,844
Y-1,Y20,0,845
Y-2,Y07,1,852
Y-1,Y20,0,853
Y-2,Y07,1,859
Y-1,Y20,0,860
Y-2,Y07,1,867
Y-1,Y20,0,868
Y-2,Y07,1,874
Y-1,Y20,0,875
Y-2,Y07,1,882
Y-1,Y20,0,883
Y-2,Y07,1,889
Y-1,Y20,0,890
Y-2,Y07,1,897
Y-1,Y20,0,898
Y-2,Y07,1,904
Y-1,Y20,0,905
Y-2,Y07,1,912
Y-1,Y20,0,913
Y-2,Y07,1,919
Y-1,Y20,0,920
Y-2,Y07,1,927
Y-1,Y20,0,928
Y-2,Y07,1,934
Y-1,Y20,0,935
Y-2,Y07,1,942
Y-1,Y20,0,943
Y-2,Y07,1,949
Y-1,Y20,0,950
Y-2,Y07,1,957
Y-1,Y20,0,958
Y-2,Y07,1,964
Y-1,Y20,0,965
Y-2,Y07,1,972
Y-1,Y20,0,973
Y-1,Y20,0,980
Y-2,Y07,1,980
Y-2,Y07,1,987
Y-1,Y20,0,988
Y-1,Y20,0,995
Y-2,Y07,1,995
Y-1,Y20,0,1001
Y-2,Y07,1,1002
Y-1,Y20,0,1007
Y-2,Y07,1,1009
Y-1,Y20,0,1011
